species,reference
ALFL,ALFL
AMCR,AMCR
AMGO,BRBL
AMRE,LCSP
AMRO,AMRO
BADO,BADO
BAOR,VESP
BAWW,DEJU
BBWA,CSWA
BCCH,CSWA
BHCO,ALFL
BHGR,VESP
BLJA,MAWR
BOCH,BOCH
BOWA,LCSP
BRBL,BRBL
BRCR,MOWA
BRSP,VESP
BTNW,CCSP
CAVI,AMCR
CCLO,MOWA
CCSP,CCSP
CEDW,BRBL
CHSP,AMRO
CMWA,CSWA
COLO,WEME
CONW,DEJU
COYE,DEJU
DEJU,DEJU
EAPH,LCSP
FOSP,VESP
GCKI,BOCH
GHOW,NSWO
GWTE,AMRO
HETH,DEJU
KILL,DEJU
LCSP,LCSP
LEFL,BOCH
LISP,WEME
MAWA,BOCH
MAWR,MAWR
MCLO,VESP
MOBL,AMCR
MOCH,DEJU
MOWA,MOWA
NESP,MAWR
NOWA,DEJU
NSWO,NSWO
OCWA,AMRO
OSFL,CSWA
OVEN,WEME
PAWA,DEJU
RBGR,VESP
RBNU,AMRO
RCKI,WEME
REVI,MAWR
RWBL,DEJU
SAPH,ALFL
SAVS,AMRO
SEWR,MAWR
SORA,AMRO
SOSP,AMRO
SPPI,BADO
SWSP,AMRO
TEWA,WEME
TOSO,WEME
VATH,MOWA
VESP,VESP
WAVI,WEME
WCSP,WEME
WEKI,MOWA
WEME,WEME
WETA,WEME
BHVI,WEME
WEWP,ALFL
WISN,BADO
WIWR,BADO
WTSP,VESP
YEWA,CSWA
YRWA,CCSP
CAWA,CSWA
CORA,AMCR
DUFL,ALFL
HOWR,WEME
NOFL,NSWO
PAWR,CSWA
SWTH,AMRO
VATH,AMRO
WBNU,AMRO
WIWA,MGWA
WWCR,DEJU
RECR,DEJU
LEYE,NSWO
